ID,ECM tips/cm,Treatment
1,1.05,mod x 2
2,1.15,mod x 2
3,1.045826203,mod x 2
4,1.45935691,moderate
5,1.360297452,moderate
6,1.305178763,moderate
7,1.210597383,light
8,0.91451675,light
9,0.776472872,light
10,1.809290954,control
11,1.894857445,control
12,2.187039414,control
13,1.525440409,extreme
14,1.711921632,extreme
15,1.25,extreme
16,0.743114579,light
17,1.059378145,light
18,1.034777523,light
19,1.96396131,control
20,1.62458225,control
21,1.542391671,control
22,1.133436373,mod x 2
23,0.84396099,mode x2
24,1.415877356,mod x 2
25,1.478674738,extreme
26,1.156657722,extreme
27,1.3,extreme
28,1.445473526,moderate
29,1.40184657,moderate
30,1.331557923,moderate
