Plot ID,Subplot,Treatment,ECM,AMF,Season
1,2,12.7x2,1.05,3.5,Spring
1,3,12.7x2,1.15,4.142857143,Spring
1,6,12.7x2,1.045826203,3.222222222,Spring
2,2,12.7,1.45935691,5.8,Spring
2,3,12.7,1.360297452,NA,Spring
2,6,12.7,1.305178763,6.43,Spring
3,2,6.4,1.210597383,NA,Spring
3,3,6.4,0.91451675,7.058823529,Spring
3,6,6.4,0.776472872,8,Spring
4,2,0,1.809290954,7.333333333,Spring
4,3,0,1.894857445,7.2,Spring
4,6,0,2.187039414,8.923076923,Spring
5,2,19,1.525440409,NA,Spring
5,3,19,1.711921632,3,Spring
5,6,19,1.25,4.4,Spring
6,2,6.4,0.743114579,9.1,Spring
6,3,6.4,1.059378145,NA,Spring
6,6,6.4,1.034777523,9,Spring
7,2,0,1.96396131,NA,Spring
7,3,0,1.62458225,8.666666667,Spring
7,6,0,1.542391671,12.61538462,Spring
8,2,12.7x2,1.133436373,6.266666667,Spring
8,3,12.7x2,0.84396099,4.923076923,Spring
8,6,12.7x2,1.415877356,3.166666667,Spring
9,2,19,1.478674738,NA,Spring
9,3,19,1.156657722,4,Spring
9,6,19,1.3,4.3,Spring
10,2,12.7,1.445473526,6.2,Spring
10,3,12.7,1.40184657,6,Spring
10,6,12.7,1.331557923,7.384615385,Spring
1,2,12.7x2,1,17,Fall
1,3,12.7x2,1.2,29,Fall
1,6,12.7x2,1.1,16.6,Fall
2,2,12.7,0.8,21.5,Fall
2,3,12.7,0.8,19.8,Fall
2,6,12.7,0.65,NA,Fall
3,2,6.4,0.5,17.2,Fall
3,3,6.4,0.583333333,11.6,Fall
3,6,6.4,0.8,NA,Fall
4,2,0,1.1107355,18.5,Fall
4,3,0,1.8,17.6,Fall
4,6,0,1.068851875,15,Fall
5,2,19,0.446392338,10.72727273,Fall
5,3,19,0.710984714,15.75,Fall
5,6,19,0.792157639,NA,Fall
6,2,6.4,0.570636667,16.33333333,Fall
6,3,6.4,0.72,10.66666667,Fall
6,6,6.4,1.186879586,NA,Fall
7,2,0,0.832824385,15.23,Fall
7,3,0,0.882556893,15.77777778,Fall
7,6,0,0.972699566,13.28571429,Fall
8,2,12.7x2,1.074691026,NA,Fall
8,3,12.7x2,0.888625592,28.6,Fall
8,6,12.7x2,0.798636993,30.90909091,Fall
9,2,19,0.651112317,18.625,Fall
9,3,19,0.797368683,29.42857143,Fall
9,6,19,0.827335153,20.61538462,Fall
10,2,12.7,1,NA,Fall
10,3,12.7,0.886475705,22,Fall
10,6,12.7,0.711743772,20.4,Fall
